client_code,degree,betweenness,Dealer_Name
cp0171,82,0,Langlois
cp0187,82,0,"Le Jay, Louis-Laurent-Edme, fils"
cp0215,82,0,"Molini, Giovanni Claudio"
cp0216,82,0,Momoro
cp0233,82,0,"Planche, Pierre"
cp0257,82,0,"Royez, Jean-François"
cp0281,152,0,"Vallat-la-Chapelle, veuve"
cp0290,82,0,"Voland, Denis"
cp0137,144,0,"Guillaume, neveu"
cp0150,102,0,Hochereau
cp0128,52,0,"Grangé, Jean-Augustin"
cp0190,52,0,"Le Mercier, veuve"
cp0208,118,0,"Méquignon, Paul-Denys, junior (pere)"
cp0015,42,0,"Barrois, veuve et fils"
cp0083,42,0,"Didot, François-Ambroise, l'aîné"
cl1541,42,0,"Bastien, , Jean-François"
cp0175,50,0,"Le Berton, Charles-Pierre"
cp0227,50,0,"Pierres, Philippe-Denis Pierres, fils"
cp0029,60,0,Brunet
cp0064,60,0,"Delaguette, Pierre-Méri"
cl1598,66,0,Esprit
cp0006,66,0,"Ballard, Pierre-Robert-Christophe"
cp0035,112,0,"Cellot, Louis"
cp0070,112,0,"Demonville, Antoine-Guénard"
cp0138,112,0,"Guillaume, veuve, neveu"
cp0223,136,0,"Nyon, Nicolas-Henri (Henri)"
cp0014,70,0,"Barrois, veuve de Marie-Jacques"
cp0126,48,0,Grandin
cp0237,46,0,"Prault, Louis-Laurent, fils, aîné"
cp0238,46,0,"Prault, Marcel, fils, jeune"
